Kod;Nazwa;MIESIAC;Rodzaj ;Cena_i_wska�niki;Rok;Wartosc;Jednostka_miary;Atrybut
0;POLSKA;maj;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2007;1,62;zł;
0;POLSKA;maj;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2008;2,03;zł;
0;POLSKA;maj;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2009;2,04;zł;
0;POLSKA;maj;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2010;2,05;zł;
0;POLSKA;maj;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2011;2,19;zł;
0;POLSKA;maj;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2012;2,38;zł;
0;POLSKA;maj;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2013;2,38;zł;
0;POLSKA;maj;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2014;2,59;zł;
0;POLSKA;maj;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2015;2,45;zł;
0;POLSKA;maj;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2016;2,31;zł;
0;POLSKA;maj;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2017;2,4;zł;
0;POLSKA;maj;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2018;2,47;zł;
0;POLSKA;maj;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2019;2,5;zł;
0;POLSKA;maj;podkoszulek męski bawełniany, bez rękawa;cena;2006;;zł;
0;POLSKA;maj;podkoszulek męski bawełniany, bez rękawa;cena;2007;;zł;
0;POLSKA;maj;podkoszulek męski bawełniany, bez rękawa;cena;2008;;zł;
0;POLSKA;maj;podkoszulek męski bawełniany, bez rękawa;cena;2009;;zł;
0;POLSKA;maj;podkoszulek męski bawełniany, bez rękawa;cena;2010;;zł;
0;POLSKA;maj;podkoszulek męski bawełniany, bez rękawa;cena;2011;;zł;
0;POLSKA;maj;podkoszulek męski bawełniany, bez rękawa;cena;2012;;zł;
0;POLSKA;maj;podkoszulek męski bawełniany, bez rękawa;cena;2013;;zł;
0;POLSKA;maj;podkoszulek męski bawełniany, bez rękawa;cena;2014;;zł;
0;POLSKA;maj;podkoszulek męski bawełniany, bez rękawa;cena;2015;;zł;
0;POLSKA;maj;podkoszulek męski bawełniany, bez rękawa;cena;2016;;zł;
0;POLSKA;maj;podkoszulek męski bawełniany, bez rękawa;cena;2017;;zł;
0;POLSKA;maj;podkoszulek męski bawełniany, bez rękawa;cena;2018;25,01;zł;
0;POLSKA;maj;podkoszulek męski bawełniany, bez rękawa;cena;2019;24,72;zł;
0;POLSKA;maj;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2006;148,21;zł;
0;POLSKA;maj;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2007;149,45;zł;
0;POLSKA;maj;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2008;155,03;zł;
0;POLSKA;maj;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2009;158,09;zł;
0;POLSKA;maj;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2010;160,8;zł;
0;POLSKA;maj;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2011;168,34;zł;
0;POLSKA;maj;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2012;178,09;zł;
0;POLSKA;maj;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2013;183,2;zł;
